id,武将名,英字名,家名,生年,没年,出典,確認状況,シナリオ1550,シナリオ1560,シナリオ1568,シナリオ1574,シナリオ1578,シナリオ1582
cho_tsugutsura,長続連,Cho Tsugutsura,hatakeyama,,1577,Wikidata / verified data,一部確認,?,?,?,?,×,×
yusa_tsugumitsu,遊佐続光,Yusa Tsugumitsu,hatakeyama,1550,1581,Wikidata / verified data,生没年確認,×,×,○,○,○,×
nukui_kagetaka,温井景隆,Nukui Kagetaka,hatakeyama,1550,1582,Wikidata / verified data,生没年確認,×,×,○,○,○,○
hatano_hidenao,波多野秀尚,Hatano Hidenao,hatano,1550,1579,Wikidata / verified data,生没年確認,×,×,○,○,○,×
akai_naomasa,赤井直正,Akai Naomasa,hatano,,,未確認,未確認,?,?,?,?,?,?
momii_norinari,籾井教業,Momii Norinari,hatano,1550,1565,Wikidata / verified data,生没年確認,×,×,×,×,×,×
oda_ujiharu,小田氏治,Oda Ujiharu,oda_hitachi,1534,1602,Wikidata / verified data,生没年確認,○,○,○,○,○,○
suganoya_masatsugu,菅谷政貞,Suganoya Masatsugu,oda_hitachi,1518,1592,Wikidata / verified data,生没年確認,○,○,○,○,○,○
okami_haruhiro,岡見治広,Okami Haruhiro,oda_hitachi,,,未確認,未確認,?,?,?,?,?,?
haga_takasada,芳賀高定,Haga Takasada,utsunomiya,1521,1588,Wikidata / verified data,生没年確認,○,○,○,○,○,○
mibu_tsunafusa,壬生綱房,Mibu Tsunafusa,utsunomiya,1479,1555,Wikidata / verified data,生没年確認,○,×,×,×,×,×
nagano_narimasa,長野業正,Nagano Narimasa,nagano,1491,1562,Wikidata / verified data,生没年確認,○,○,×,×,×,×
kamiizumi_nobutsuna,上泉信綱,Kamiizumi Nobutsuna,nagano,1508,1577,Wikidata / verified data,生没年確認,○,○,○,○,×,×
nagano_narimori,長野業盛,Nagano Narimori,nagano,1544,1566,Wikidata / verified data,生没年確認,×,○,×,×,×,×
nikaido_moriyoshi,二階堂盛義,Nikaido Moriyoshi,nikaido,,,未確認,未確認,?,?,?,?,?,?
nikaido_yukichika,二階堂行親,Nikaido Yukichika,nikaido,,,未確認,未確認,?,?,?,?,?,?
suka_moritsune,須賀盛常,Suka Moritsune,nikaido,,,未確認,未確認,?,?,?,?,?,?
ashikaga_yoshiaki,足利義昭,Ashikaga Yoshiaki,ashikaga,1537,1597,Wikidata / verified data,生没年確認,○,○,○,○,○,○
hosokawa_fujitaka,細川藤孝,Hosokawa Fujitaka,ashikaga,1534,1610,Wikidata / verified data,生没年確認,○,○,○,○,○,○
wada_korenaga,和田惟政,Wada Korenaga,ashikaga,1530,1571,Wikidata / verified data,生没年確認,○,○,○,×,×,×
isshiki_yoshisada,一色義定,Isshiki Yoshisada,isshiki,1550,1582,Wikidata / verified data,生没年確認,×,×,○,○,○,○
numata_mitsukane,沼田光兼,Numata Mitsukane,isshiki,,,未確認,未確認,?,?,?,?,?,?
yamana_suketoyo,山名祐豊,Yamana Suketoyo,yamana,1511,1580,Wikidata / verified data,生没年確認,○,○,○,○,○,×
otagaki_terunobu,太田垣輝延,Otagaki Terunobu,yamana,,,未確認,未確認,?,?,?,?,?,?
kakiya_mitsunari,垣屋光成,Kakiya Mitsunari,yamana,1520,1592,Wikidata / verified data,生没年確認,○,○,○,○,○,○
akamatsu_yoshisuke,赤松義祐,Akamatsu Yoshisuke,akamatsu,1537,1576,Wikidata / verified data,生没年確認,○,○,○,○,×,×
kodera_masamoto,小寺政職,Kodera Masamoto,akamatsu,1529,1584,Wikidata / verified data,生没年確認,○,○,○,○,○,○
kuroda_mototaka,黒田職隆,Kuroda Mototaka,akamatsu,1524,1585,Wikidata / verified data,生没年確認,○,○,○,○,○,○
akao_kiyotsuna,赤尾清綱,Akao Kiyotsuna,azai,1514,1573,Wikidata / verified data,生没年確認,○,○,○,×,×,×
kaiho_tsunachika,海北綱親,Kaiho Tsunachika,azai,1510,1573,Wikidata / verified data,生没年確認,○,○,○,×,×,×
ouchi_yoshitaka,大内義隆,Ouchi Yoshitaka,ouchi,1507,1551,Wikidata / verified data,生没年確認,○,×,×,×,×,×
sue_harukata,陶晴賢,Sue Harukata,ouchi,1521,1555,Wikidata / verified data,生没年確認,○,×,×,×,×,×
uragami_muramune,浦上村宗,Uragami Muramune,akamatsu,,1531,Wikidata / verified data,一部確認,×,×,×,×,×,×
akamatsu_hirohide,赤松広秀,Akamatsu Hirohide,akamatsu,,,未確認,未確認,?,?,?,?,?,?
akamatsu_masahide,赤松政秀,Akamatsu Masahide,akamatsu,1510,1570,Wikidata / verified data,生没年確認,○,○,○,×,×,×
akamatsu_norifusa,赤松則房,Akamatsu Norifusa,akamatsu,1559,1598,Wikidata / verified data,生没年確認,×,×,×,○,○,○
kamei_hidetsuna,亀井秀綱,Kamei Hidetsuna,amago,,,未確認,未確認,?,?,?,?,?,?
amago_katsuhisa,尼子勝久,Amago Katsuhisa,amago,1553,1578,Wikidata / verified data,生没年確認,×,×,○,○,○,×
mitoya_katsuhisa,三刀屋勝久,Mitoya Katsuhisa,amago,,,未確認,未確認,?,?,?,?,?,?
sase_kiyosada,佐世清定,Sase Kiyosada,amago,,,未確認,未確認,?,?,?,?,?,?
honjo_tsunemitsu,本城常光,Honjo Tsunemitsu,amago,1513,1562,Wikidata / verified data,生没年確認,○,○,×,×,×,×
asakura_kagetaka,朝倉景隆,Asakura Kagetaka,asakura,1508,1570,Wikidata / verified data,生没年確認,○,○,○,×,×,×
maeba_yoshitsugu,前波吉継,Maeba Yoshitsugu,asakura,1541,1574,Wikidata / verified data,生没年確認,×,○,○,○,×,×
tobe_kageyuki,戸部景行,Tobe Kageyuki,asakura,,,未確認,未確認,?,?,?,?,?,?
asakura_kagetsuru,朝倉景鶴,Asakura Kagetsuru,asakura,,,未確認,未確認,?,?,?,?,?,?
asakura_kagekiyo,朝倉景紀,Asakura Kagekiyo,asakura,1505,1572,Wikidata / verified data,生没年確認,○,○,○,×,×,×
mitsubuchi_fujihide,三淵藤英,Mitsubuchi Fujihide,ashikaga,1550,1574,Wikidata / verified data,生没年確認,×,×,○,○,×,×
hosokawa_akimoto,細川昭元,Hosokawa Akimoto,ashikaga,1548,1615,Wikidata / verified data,生没年確認,×,×,○,○,○,○
ise_sadataka,伊勢貞孝,Ise Sadataka,ashikaga,,1562,Wikidata / verified data,一部確認,?,?,×,×,×,×
makishima_yoshinobu,槇島昭光,Makishima Yoshinobu,ashikaga,,,未確認,未確認,?,?,?,?,?,?
ashikaga_yoshisada,足利義定,Ashikaga Yoshisada,ashikaga,,,未確認,未確認,?,?,?,?,?,?
iso_kazumasu,磯野員昌,Iso Kazumasu,azai,1523,1583,Wikidata / verified data,生没年確認,○,○,○,○,○,○
endo_naokage,遠藤直経,Endo Naokage,azai,1531,1570,Wikidata / verified data,生没年確認,○,○,○,×,×,×
imai_hidenaga,今井秀国,Imai Hidenaga,azai,,,未確認,未確認,?,?,?,?,?,?
aobe_sadayuki,阿閉貞征,Aobe Sadayuki,azai,1528,1582,Wikidata / verified data,生没年確認,○,○,○,○,○,○
asai_masazumi,浅井政澄,Asai Masazumi,azai,,1570,Wikidata / verified data,一部確認,?,?,?,×,×,×
yoshiura_chikanori,吉良親実,Yoshiura Chikanori,chosokabe,1563,1589,Wikidata / verified data,生没年確認,×,×,×,×,○,○
hisatake_chikamitsu,久武親信,Hisatake Chikamitsu,chosokabe,,1579,Wikidata / verified data,一部確認,?,?,?,?,?,×
yokoyama_kanemitsu,横山兼光,Yokoyama Kanemitsu,chosokabe,,,未確認,未確認,?,?,?,?,?,?
tani_tadazumi,谷忠澄,Tani Tadazumi,chosokabe,1534,1600,Wikidata / verified data,生没年確認,○,○,○,○,○,○
ikemoto_chikasue,池本親季,Ikemoto Chikasue,chosokabe,,,未確認,未確認,?,?,?,?,?,?
date_shigenari,伊達成実,Date Shigenari,date,1568,1646,Wikidata / verified data,生没年確認,×,×,×,×,×,○
oniwa_tsunamoto,鬼庭綱元,Oniwa Tsunamoto,date,1549,1640,Wikidata / verified data,生没年確認,×,×,○,○,○,○
katakura_shigenaga,片倉重長,Katakura Shigenaga,date,1585,1659,Wikidata / verified data,生没年確認,×,×,×,×,×,×
ouchi_sadatsuna,大内定綱,Ouchi Sadatsuna,date,1545,1610,Wikidata / verified data,生没年確認,×,○,○,○,○,○
arate_munekatsu,荒手宗勝,Arate Munekatsu,date,,,未確認,未確認,?,?,?,?,?,?
yakushiji_morokazu,薬師寺元一,Yakushiji Morokazu,hatano,1475,1504,Wikidata / verified data,生没年確認,×,×,×,×,×,×
naito_sadaoki,内藤定興,Naito Sadaoki,hatano,,,未確認,未確認,?,?,?,?,?,?
shimizu_shigeie,清水重家,Shimizu Shigeie,hatano,,,未確認,未確認,?,?,?,?,?,?
hojo_tsunanari,北条綱成,Hojo Tsunanari,hojo,1515,1587,Wikidata / verified data,生没年確認,○,○,○,○,○,○
ohta_sukemasa,太田資正,Ohta Sukemasa,hojo,1522,1591,Wikidata / verified data,生没年確認,○,○,○,○,○,○
yamakami_nobutaka,山上信孝,Yamakami Nobutaka,hojo,,,未確認,未確認,?,?,?,?,?,?
shimotsuma_rairen,下間頼廉,Shimotsuma Rairen,honganji,1537,1626,Wikidata / verified data,生没年確認,○,○,○,○,○,○
shimotsuma_raisho,下間頼照,Shimotsuma Raisho,honganji,1516,1575,Wikidata / verified data,生没年確認,○,○,○,○,×,×
shonai_yoritsuna,証如上人,Shonai Yoritsuna,honganji,,,未確認,未確認,?,?,?,?,?,?
sugi_nobuyori,杉宣周,Sugi Nobuyori,honganji,,,未確認,未確認,?,?,?,?,?,?
washida_morishige,鷲田守重,Washida Morishige,honganji,,,未確認,未確認,?,?,?,?,?,?
matsui_munenobu,松井宗信,Matsui Munenobu,imagawa,,,未確認,未確認,?,?,?,?,?,?
imagawa_ujitoyo,今川氏豊,Imagawa Ujitoyo,imagawa,1522,,Wikidata / verified data,一部確認,○,○,○,○,○,○
hayakawa_ujiharu,早川氏春,Hayakawa Ujiharu,imagawa,,,未確認,未確認,?,?,?,?,?,?
isshiki_yoshikane,一色義清,Isshiki Yoshikane,isshiki,1450,,Wikidata / verified data,一部確認,○,○,○,○,○,○
isshiki_yoshisato,一色義郷,Isshiki Yoshisato,isshiki,,,未確認,未確認,?,?,?,?,?,?
isshiki_fujinaga,一色藤長,Isshiki Fujinaga,isshiki,,1600,Wikidata / verified data,一部確認,?,?,?,?,?,?
isshiki_yoshinori_r,一色義教,Isshiki Yoshinori,isshiki,,,未確認,未確認,?,?,?,?,?,?
kitabatake_tomofusa,北畠具房,Kitabatake Tomofusa,kitabatake,1547,1580,Wikidata / verified data,生没年確認,×,○,○,○,○,×
